Incident Year,Month,Incident Category,Incident Datetime
2019,2,Courtesy Report,26
2019,2,Disorderly Conduct,223
2019,2,Drug Offense,284
2019,2,Drug Violation,1
2019,2,Embezzlement,16
2019,2,Family Offense,13
2019,2,Fire Report,11
2019,2,Forgery And Counterfeiting,50
2019,2,Fraud,382
2019,2,Gambling,1
2019,2,Larceny Theft,3418
2019,2,Liquor Laws,1
2019,2,Lost Property,441
2019,2,Malicious Mischief,615
2019,2,Miscellaneous Investigation,103
2019,2,Missing Person,246
2019,2,Motor Vehicle Theft,397
2019,2,Motor Vehicle Theft?,2
2019,2,Non-Criminal,658
2019,2,Offences Against The Family And Children,227
2019,2,Other,100
2019,2,Other Miscellaneous,839
2019,2,Other Offenses,70
2019,2,Prostitution,69
2019,2,Rape,3
2019,2,Recovered Vehicle,319
2019,2,Robbery,228
2019,2,Sex Offense,43
2019,2,Stolen Property,59
2019,2,Suicide,4
2019,2,Suspicious Occ,195
2019,2,Traffic Collision,24
2019,2,Traffic Violation Arrest,161
2019,2,Vandalism,12
2019,2,Vehicle Impounded,17
2019,2,Vehicle Misplaced,5
2019,2,Warrant,443
2019,2,Weapons Carrying Etc,64
2019,2,Weapons Offense,63
2019,3,Arson,20
2019,3,Assault,817
2019,3,Burglary,529
2019,3,Case Closure,55
2019,3,Civil Sidewalks,29
2019,3,Courtesy Report,35
2019,3,Disorderly Conduct,257
2019,3,Drug Offense,321
2019,3,Drug Violation,2
2019,3,Embezzlement,14
2019,3,Family Offense,19
2019,3,Fire Report,14
2019,3,Forgery And Counterfeiting,49
2019,3,Fraud,373
2019,3,Homicide,1
2019,3,"Human Trafficking (A), Commercial Sex Acts",1
2019,3,"Human Trafficking, Commercial Sex Acts",1
2019,3,Larceny Theft,3544
2019,3,Liquor Laws,1
2019,3,Lost Property,510
2019,3,Malicious Mischief,716
2019,3,Miscellaneous Investigation,112
2019,3,Missing Person,278
2019,3,Motor Vehicle Theft,415
2019,3,Motor Vehicle Theft?,1
2019,3,Non-Criminal,756
2019,3,Offences Against The Family And Children,260
2019,3,Other,82
2019,3,Other Miscellaneous,840
2019,3,Other Offenses,79
2019,3,Prostitution,41
2019,3,Rape,2
2019,3,Recovered Vehicle,340
2019,3,Robbery,250
2019,3,Sex Offense,28
2019,3,Stolen Property,55
2019,3,Suicide,4
2019,3,Suspicious,1
2019,3,Suspicious Occ,225
2019,3,Traffic Collision,25
2019,3,Traffic Violation Arrest,128
2019,3,Vandalism,11
2019,3,Vehicle Impounded,15
2019,3,Vehicle Misplaced,4
2019,3,Warrant,430
2019,3,Weapons Carrying Etc,53
2019,3,Weapons Offence,1
2019,3,Weapons Offense,59
2019,4,Arson,22
2019,4,Assault,709
2019,4,Burglary,494
2019,4,Case Closure,53
2019,4,Civil Sidewalks,17
2019,4,Courtesy Report,43
2019,4,Disorderly Conduct,203
2019,4,Drug Offense,328
2019,4,Drug Violation,1
2019,4,Embezzlement,5
2019,4,Family Offense,19
2019,4,Fire Report,3
2019,4,Forgery And Counterfeiting,45
2019,4,Fraud,398
2019,4,Homicide,1
2019,4,"Human Trafficking (A), Commercial Sex Acts",2
2019,4,Larceny Theft,3484
2019,4,Liquor Laws,1
2019,4,Lost Property,496
2019,4,Malicious Mischief,741
2019,4,Miscellaneous Investigation,126
2019,4,Missing Person,282
2019,4,Motor Vehicle Theft,443
2019,4,Motor Vehicle Theft?,2
2019,4,Non-Criminal,732
2019,4,Offences Against The Family And Children,224
2019,4,Other,68
2019,4,Other Miscellaneous,893
2019,4,Other Offenses,103
2019,4,Prostitution,25
2019,4,Rape,1
2019,4,Recovered Vehicle,337
2019,4,Robbery,257
2019,4,Sex Offense,41
2019,4,Stolen Property,56
2019,4,Suicide,8
2019,4,Suspicious Occ,286
2019,4,Traffic Collision,27
2019,4,Traffic Violation Arrest,170
2019,4,Vandalism,19
2019,4,Vehicle Impounded,4
2019,4,Vehicle Misplaced,2
2019,4,Warrant,506
2019,4,Weapons Carrying Etc,47
2019,4,Weapons Offense,77
2019,5,Arson,5
2019,5,Assault,171
2019,5,Burglary,123
2019,5,Case Closure,8
2019,5,Civil Sidewalks,4
2019,5,Courtesy Report,6
2019,5,Disorderly Conduct,50
2019,5,Drug Offense,92
2019,5,Drug Violation,1
2019,5,Embezzlement,6
2019,5,Family Offense,5
2019,5,Fire Report,1
2019,5,Forgery And Counterfeiting,7
2019,5,Fraud,102
2019,5,Homicide,2
2019,5,Larceny Theft,860
2019,5,Lost Property,110
2019,5,Malicious Mischief,149
2019,5,Miscellaneous Investigation,33
2019,5,Missing Person,71
2019,5,Motor Vehicle Theft,96
2019,5,Non-Criminal,175
2019,5,Offences Against The Family And Children,85
2019,5,Other,15
2019,5,Other Miscellaneous,211
2019,5,Other Offenses,19
2019,5,Prostitution,5
2019,5,Recovered Vehicle,83
2019,5,Robbery,62
2019,5,Sex Offense,11
2019,5,Stolen Property,12
2019,5,Suicide,2
2019,5,Suspicious Occ,67
2019,5,Traffic Collision,6
2019,5,Traffic Violation Arrest,45
2019,5,Vandalism,4
2019,5,Vehicle Impounded,8
2019,5,Vehicle Misplaced,1
2019,5,Warrant,100
2019,5,Weapons Carrying Etc,22
2019,5,Weapons Offense,12
2020,1,Arson,25
2020,1,Assault,591
2020,1,Burglary,556
2020,1,Case Closure,43
2020,1,Civil Sidewalks,7
2020,1,Courtesy Report,39
2020,1,Disorderly Conduct,183
2020,1,Drug Offense,289
2020,1,Drug Violation,5
2020,1,Embezzlement,14
2020,1,Family Offense,14
2020,1,Fire Report,15
2020,1,Forgery And Counterfeiting,36
2020,1,Fraud,319
2020,1,"Human Trafficking (A), Commercial Sex Acts",1
2020,1,Larceny Theft,4181
2020,1,Liquor Laws,6
2020,1,Lost Property,391
2020,1,Malicious Mischief,762
2020,1,Miscellaneous Investigation,98
2020,1,Missing Person,230
2020,1,Motor Vehicle Theft,450
2020,1,Non-Criminal,670
2020,1,Offences Against The Family And Children,195
2020,1,Other,90
2020,1,Other Miscellaneous,856
2020,1,Other Offenses,95
2020,1,Prostitution,27
2020,1,Rape,4
2020,1,Recovered Vehicle,370
2020,1,Robbery,296
2020,1,Sex Offense,28
2020,1,Stolen Property,59
2020,1,Suicide,9
2020,1,Suspicious,2
2020,1,Suspicious Occ,216
2020,1,Traffic Collision,27
2020,1,Traffic Violation Arrest,150
2020,1,Vandalism,19
2020,1,Vehicle Impounded,12
2020,1,Vehicle Misplaced,8
2020,1,Warrant,454
2020,1,Weapons Carrying Etc,78
2020,1,Weapons Offense,80
2020,2,Arson,23
2020,2,Assault,690
2020,2,Burglary,488
2020,2,Case Closure,34
2020,2,Civil Sidewalks,11
2020,2,Courtesy Report,32
2020,2,Disorderly Conduct,213
2020,2,Drug Offense,339
2020,2,Drug Violation,7
2020,2,Embezzlement,21
2020,2,Family Offense,15
2020,2,Fire Report,14
2020,2,Forgery And Counterfeiting,28
2020,2,Fraud,277
2020,2,Homicide,1
2020,2,"Human Trafficking (A), Commercial Sex Acts",1
2020,2,Larceny Theft,3437
2020,2,Liquor Laws,4
2020,2,Lost Property,360
2020,2,Malicious Mischief,725
2020,2,Miscellaneous Investigation,103
